,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Novembro de 2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ano: 2021,,Brasil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UF,Município,Agropecuária,,,,Indústria,,,,Construção,,,,Comércio,,,,Serviços,5 - Comércio,,,Total,,,
,,,2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RO,ALTA FLORESTA D OESTE,376,293,-83,-22.07,303,269,-34,-11.22,57,40,-17,-29.82,766,719,-47,-6.14,"1,213","1,310",97,8.00,"2,715","2,631",-84,-3.09
,RO,ARIQUEMES,"1,066",979,-87,-8.16,"2,477","2,564",87,3.51,393,446,53,13.49,"6,499","6,939",440,6.77,"7,099","7,450",351,4.94,"17,534","18,378",844,4.81
,RO,CABIXI,152,153,1,0.66,82,41,-41,-50.00,0,0,0,#DIV/0!,75,71,-4,-5.33,366,387,21,5.74,675,652,-23,-3.41
,RO,CACOAL,481,526,45,9.36,"2,567","2,610",43,1.68,797,723,-74,-9.28,"6,178","6,283",105,1.70,"7,503","7,949",446,5.94,"17,526","18,091",565,3.22
,RO,CEREJEIRAS,213,246,33,15.49,207,230,23,11.11,15,21,6,40.00,845,900,55,6.51,"1,092","1,167",75,6.87,"2,372","2,564",192,8.09
,RO,COLORADO DO OESTE,160,159,-1,-0.63,391,408,17,4.35,52,50,-2,-3.85,785,810,25,3.18,999,993,-6,-0.60,"2,387","2,420",33,1.38
,RO,CORUMBIARA,745,689,-56,-7.52,48,47,-1,-2.08,7,10,3,42.86,141,141,0,0.00,450,480,30,6.67,"1,391","1,367",-24,-1.73
,RO,COSTA MARQUES,100,77,-23,-23.00,19,33,14,73.68,0,1,1,#DIV/0!,171,179,8,4.68,605,688,83,13.72,895,978,83,9.27
,RO,ESPIGAO D OESTE,427,433,6,1.41,"1,428","1,576",148,10.36,97,99,2,2.06,"1,128","1,378",250,22.16,"1,990","1,916",-74,-3.72,"5,070","5,402",332,6.55
,RO,GUAJARA-MIRIM,66,65,-1,-1.52,204,184,-20,-9.80,31,101,70,225.81,"1,549","1,746",197,12.72,"1,854","1,866",12,0.65,"3,704","3,962",258,6.97
,RO,JARU,359,345,-14,-3.90,"3,177","3,082",-95,-2.99,190,192,2,1.05,"3,383","3,546",163,4.82,"3,121","3,259",138,4.42,"10,230","10,424",194,1.90
,RO,JI-PARANA,612,644,32,5.23,"5,409","4,685",-724,-13.39,937,678,-259,-27.64,"9,516","10,170",654,6.87,"11,514","12,539","1,025",8.90,"27,988","28,716",728,2.60
,RO,MACHADINHO D OESTE,209,246,37,17.70,206,188,-18,-8.74,18,16,-2,-11.11,906,"1,079",173,19.09,"1,911","2,101",190,9.94,"3,250","3,630",380,11.69
