,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ano: 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UF,Código,Município,Agropecuária,,,,Indústria,,,,Construção,,,,Comércio,,,,Serviços,,,,Total,,,
,,,,2022,2023,Variação Absoluta,Variação Relativa,2022,2023,Variação Absoluta,Variação Relativa,2022,2023,Variação Absoluta,Variação Relativa,2022,2023,Variação Absoluta,Variação Relativa,2022,2023,Variação Absoluta,Variação Relativa,2022,2023,Variação Absoluta,Variação Relativa
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RO,110001,Alta Floresta D'Oeste,437,447,10,"2,3%",341,329,-12,"-3,5%",58,86,28,"48,3%",985,984,-1,"-0,1%",1.430,1.468,38,"2,7%",3.251,3.314,63,"1,9%"
,RO,110002,Ariquemes,1.271,1.309,38,"3,0%",2.818,2.993,175,"6,2%",693,602,-91,"-13,1%",7.627,7.631,4,"0,1%",8.937,9.485,548,"6,1%",21.346,22.020,674,"3,2%"
,RO,110003,Cabixi,220,205,-15,"-6,8%",99,94,-5,"-5,1%",20,10,-10,"-50,0%",97,127,30,"30,9%",452,458,6,"1,3%",888,894,6,"0,7%"
,RO,110004,Cacoal,595,629,34,"5,7%",2.750,2.896,146,"5,3%",850,753,-97,"-11,4%",6.792,7.016,224,"3,3%",8.917,9.351,434,"4,9%",19.905,20.645,740,"3,7%"
,RO,110005,Cerejeiras,346,370,24,"6,9%",256,242,-14,"-5,5%",30,51,21,"70,0%",979,1.029,50,"5,1%",1.324,1.522,198,"15,0%",2.935,3.214,279,"9,5%"
,RO,110006,Colorado do Oeste,205,187,-18,"-8,8%",353,380,27,"7,6%",88,91,3,"3,4%",933,809,-124,"-13,3%",1.153,1.208,55,"4,8%",2.732,2.675,-57,"-2,1%"
,RO,110007,Corumbiara,873,1.101,228,"26,1%",50,53,3,"6,0%",59,33,-26,"-44,1%",176,193,17,"9,7%",528,587,59,"11,2%",1.686,1.967,281,"16,7%"
,RO,110008,Costa Marques,106,107,1,"0,9%",34,43,9,"26,5%",17,7,-10,"-58,8%",245,231,-14,"-5,7%",722,754,32,"4,4%",1.124,1.142,18,"1,6%"
,RO,110009,Espigão D'Oeste,459,462,3,"0,7%",1.572,1.590,18,"1,1%",181,138,-43,"-23,8%",1.339,1.381,42,"3,1%",2.106,2.104,-2,"-0,1%",5.657,5.675,18,"0,3%"
