,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,
,,,,,,
,Ano: 2023,,,,,
,,,,,,
,,,,,,
,Indicadores,,2022,2023,Variação Absoluta,Variação Relativa
,Remuneração Real Média em Dezembro,,"3.893,99","3.930,56","36,58","0,9%"
,Região e UF,,,,,
,Remuneração Real Média em Dezembro,Norte,"3.668,82","3.557,85","-110,97","-3,0%"
,,Rondônia,"3.497,61","3.427,73","-69,88","-2,0%"
,,Acre,"3.603,15","4.058,22","455,07","12,6%"
,,Amazonas,"3.687,11","3.919,99","232,88","6,3%"
,,Roraima,"3.514,49","3.716,51","202,02","5,7%"
,,Pará,"3.609,28","3.366,71","-242,57","-6,7%"
,,Amapá,"4.917,28","3.616,45","-1.300,83","-26,5%"
,,Tocantins,"3.609,96","3.302,07","-307,89","-8,5%"
,,Nordeste,"3.134,91","3.224,84","89,92","2,9%"
,,Maranhão,"3.119,42","3.134,74","15,32","0,5%"
,,Piauí,"3.105,65","3.314,84","209,20","6,7%"
,,Ceará,"3.102,26","2.966,17","-136,09","-4,4%"
,,Rio Grande do Norte,"3.250,23","3.153,85","-96,38","-3,0%"
,,Paraíba,"2.942,85","2.977,25","34,40","1,2%"
,,Pernambuco,"3.185,72","3.232,40","46,68","1,5%"
,,Alagoas,"3.053,41","3.119,36","65,95","2,2%"
,,Sergipe,"3.287,43","3.382,29","94,86","2,9%"
,,Bahia,"3.151,03","3.475,67","324,64","10,3%"
,,Sudeste,"4.128,06","4.187,49","59,42","1,4%"
,,Minas Gerais,"3.300,80","3.400,08","99,28","3,0%"
,,Espírito Santo,"3.296,52","3.430,31","133,79","4,1%"
,,Rio de Janeiro,"4.374,89","4.272,75","-102,14","-2,3%"
,,São Paulo,"4.420,53","4.512,06","91,53","2,1%"
,,Sul,"3.801,73","3.923,45","121,72","3,2%"
,,Paraná,"3.743,69","3.881,65","137,96","3,7%"
,,Santa Catarina,"3.770,50","4.012,46","241,96","6,4%"
,,Rio Grande do Sul,"3.891,95","3.891,99","0,04","0,0%"
,,Centro-Oeste,"4.521,00","4.216,95","-304,05","-6,7%"
,,Mato Grosso do Sul,"3.740,25","3.968,08","227,83","6,1%"
,,Mato Grosso,"3.841,03","3.643,35","-197,69","-5,1%"
,,Goiás,"3.470,61","3.380,65","-89,96","-2,6%"
,,Distrito Federal,"7.074,16","6.276,66","-797,50","-11,3%"
,Grupamento de Atividades Econômicas e Seção CNAE 2.0,,,,,
,Remuneração Real Média em Dezembro,"Agricultura, pecuária, produção florestal, pesca e aquicultura","2.504,28","2.667,52","163,23","6,5%"
,,Indústria geral,"4.010,74","4.182,40","171,66","4,3%"
,,Indústrias Extrativas,"7.785,63","8.961,14","1.175,51","15,1%"
,,Indústrias de Transformação,"3.769,23","3.906,19","136,96","3,6%"
,,Eletricidade e Gás,"9.455,12","9.570,89","115,77","1,2%"
,,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","4.361,91","4.408,81","46,89","1,1%"
,,Construção,"2.949,40","3.091,39","141,99","4,8%"
,,Comércio; reparação de veículos automotores e motocicletas,"2.690,40","2.802,76","112,36","4,2%"
,,Serviços,"4.423,11","4.422,65","-0,46","0,0%"
,,"Transporte, armazenagem e correio","3.568,05","3.724,71","156,66","4,4%"
,,Alojamento e alimentação,"2.053,06","2.162,26","109,19","5,3%"
,,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas","4.135,35","4.219,90","84,54","2,0%"
,,Informação e Comunicação,"6.192,29","6.415,33","223,05","3,6%"
,,"Atividades Financeiras, de Seguros e Serviços Relacionados","8.831,48","9.023,64","192,16","2,2%"
,,Atividades Imobiliárias,"3.124,75","3.169,79","45,04","1,4%"
,,"Atividades Profissionais, Científicas e Técnicas","4.550,65","4.603,54","52,89","1,2%"
,,Atividades Administrativas e Serviços Complementares,"2.602,25","2.698,27","96,02","3,7%"
,,"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais","5.176,32","5.250,98","74,66","1,4%"
,,"Administração Pública, Defesa e Seguridade Social","5.786,41","6.053,30","266,89","4,6%"
,,Educação,"4.755,89","5.034,58","278,68","5,9%"
,,Saúde Humana e Serviços Sociais,"3.706,21","3.733,03","26,81","0,7%"
,,Outros serviços,"2.986,72","3.083,44","96,73","3,2%"
,,"Artes, Cultura, Esporte e Recreação","2.724,35","2.802,67","78,32","2,9%"
,,Outras Atividades de Serviços,"3.040,72","1.879,21","-1.161,50","-38,2%"
,,Organismos Internacionais e Outras Instituições Extraterritoriais,"8.185,23","8.733,54","548,31","6,7%"
,Natureza Jurídica,,,,,
,Remuneração Real Média em Dezembro,Setor Público Federal,"11.497,34","15.407,79","3.910,45","34,0%"
,,Setor Público Estadual,"7.504,69","9.169,84","1.665,16","22,2%"
,,Setor Público Municipal,"4.279,55","4.515,79","236,24","5,5%"
,,Setor Público - Outros,"3.825,83","4.493,24","667,40","17,4%"
,,Entidade Empresa Estatal,"11.234,12","11.669,02","434,90","3,9%"
,,Entidade Empresa Privada,"3.244,48","3.356,42","111,94","3,5%"
,,Entidades sem Fins Lucrativos,"3.732,83","3.931,39","198,57","5,3%"
,,Pessoa Física e outras Organizações Legais,"2.420,61","2.638,74","218,13","9,0%"
,,,,,,
,Fonte: RAIS / MTE ,,,,,
