Curso,Area,Setor,Municipio,Empregados
LETRAS - INGLÊS,Educação,Serviços,São Paulo,3548627
LETRAS - LÍNGUA PORTUGUESA,Educação,Serviços,São Paulo,3548627
PROGRAMA ESPECIAL DE FORMAÇÃO DOCENTE EM MATEMÁTICA,Educação,Serviços,São Paulo,3548627
PEDAGOGIA,Educação,Serviços,São Paulo,3548627
CIÊNCIAS BIOLÓGICAS,Educação,Serviços,São Paulo,3548627
HISTÓRIA,Educação,Serviços,São Paulo,3548627
LETRAS - ESPANHOL E PORTUGUÊS COMO LÍNGUAS ESTRANGEIRAS,Educação,Serviços,São Paulo,3548627
QUÍMICA,Educação,Serviços,São Paulo,3548627
FÍSICA,Educação,Serviços,São Paulo,3548627
EDUCAÇÃO FÍSICA,Educação,Serviços,São Paulo,3548627
MÚSICA,Educação,Serviços,São Paulo,3548627
LETRAS - PORTUGUÊS E JAPONÊS,Educação,Serviços,São Paulo,3548627
MATEMÁTICA,Educação,Serviços,São Paulo,3548627
TEATRO,Educação,Serviços,São Paulo,3548627
LETRAS - LÍNGUA PORTUGUESA E LITERATURAS DE LíNGUA PORTUGUESA,Educação,Serviços,São Paulo,3548627
INFORMÁTICA,Educação,Serviços,São Paulo,3548627
GEOGRAFIA,Educação,Serviços,São Paulo,3548627
LETRAS - PORTUGUÊS E INGLÊS,Educação,Serviços,São Paulo,3548627
ARTES,Educação,Serviços,São Paulo,3548627
COMPUTAÇÃO,Educação,Serviços,São Paulo,3548627
