Curso,Instituicao,Estado,Remuneracao
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
ENGENHARIA CIVIL,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
FARMÁCIA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
PEDAGOGIA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
GESTÃO PÚBLICA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
DESIGN GRÁFICO,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
GASTRONOMIA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
CIÊNCIAS BIOLÓGICAS,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
BIOMEDICINA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
CIÊNCIA POLÍTICA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
FISIOTERAPIA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
ARQUITETURA E URBANISMO,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
PUBLICIDADE E PROPAGANDA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
SISTEMAS DE INFORMAÇÃO,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
ENFERMAGEM,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
LETRAS - PORTUGUÊS E INGLÊS,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
ENGENHARIA MECATRÔNICA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
EDUCAÇÃO FÍSICA,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,Distrito Federal,6276.66
