Area,Setor,Municipio,Empregados
Educação,Serviços,Campinas,293762
Serviços,Serviços,Campinas,293762
Saúde e bem-estar,Serviços,Campinas,293762
"Agricultura, silvicultura, pesca e veterinária",Serviços,Campinas,293762
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Campinas,293762
"Ciências naturais, matemática e estatística",Serviços,Campinas,293762
"Negócios, administração e direito",Serviços,Campinas,293762
"Ciências sociais, comunicação e informação",Serviços,Campinas,293762
Artes e humanidades,Serviços,Campinas,293762
Educação,Serviços,Barueri,278046
Serviços,Serviços,Barueri,278046
Saúde e bem-estar,Serviços,Barueri,278046
"Agricultura, silvicultura, pesca e veterinária",Serviços,Barueri,278046
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Barueri,278046
"Ciências naturais, matemática e estatística",Serviços,Barueri,278046
"Negócios, administração e direito",Serviços,Barueri,278046
"Ciências sociais, comunicação e informação",Serviços,Barueri,278046
Artes e humanidades,Serviços,Barueri,278046
Educação,Serviços,Guarulhos,217268
Serviços,Serviços,Guarulhos,217268
Saúde e bem-estar,Serviços,Guarulhos,217268
"Agricultura, silvicultura, pesca e veterinária",Serviços,Guarulhos,217268
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Guarulhos,217268
"Ciências naturais, matemática e estatística",Serviços,Guarulhos,217268
"Negócios, administração e direito",Serviços,Guarulhos,217268
"Ciências sociais, comunicação e informação",Serviços,Guarulhos,217268
Artes e humanidades,Serviços,Guarulhos,217268
Educação,Serviços,Ribeirão Preto,158526
Serviços,Serviços,Ribeirão Preto,158526
Saúde e bem-estar,Serviços,Ribeirão Preto,158526
"Agricultura, silvicultura, pesca e veterinária",Serviços,Ribeirão Preto,158526
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Ribeirão Preto,158526
"Ciências naturais, matemática e estatística",Serviços,Ribeirão Preto,158526
"Negócios, administração e direito",Serviços,Ribeirão Preto,158526
"Ciências sociais, comunicação e informação",Serviços,Ribeirão Preto,158526
Artes e humanidades,Serviços,Ribeirão Preto,158526
Educação,Serviços,São Bernardo do Campo,158338
Serviços,Serviços,São Bernardo do Campo,158338
Saúde e bem-estar,Serviços,São Bernardo do Campo,158338
"Agricultura, silvicultura, pesca e veterinária",Serviços,São Bernardo do Campo,158338
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,São Bernardo do Campo,158338
"Ciências naturais, matemática e estatística",Serviços,São Bernardo do Campo,158338
"Negócios, administração e direito",Serviços,São Bernardo do Campo,158338
"Ciências sociais, comunicação e informação",Serviços,São Bernardo do Campo,158338
Artes e humanidades,Serviços,São Bernardo do Campo,158338
Educação,Serviços,Santo André,153730
Serviços,Serviços,Santo André,153730
Saúde e bem-estar,Serviços,Santo André,153730
"Agricultura, silvicultura, pesca e veterinária",Serviços,Santo André,153730
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Santo André,153730
"Ciências naturais, matemática e estatística",Serviços,Santo André,153730
"Negócios, administração e direito",Serviços,Santo André,153730
"Ciências sociais, comunicação e informação",Serviços,Santo André,153730
Artes e humanidades,Serviços,Santo André,153730
Educação,Serviços,Santos,152667
Serviços,Serviços,Santos,152667
Saúde e bem-estar,Serviços,Santos,152667
"Agricultura, silvicultura, pesca e veterinária",Serviços,Santos,152667
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Santos,152667
"Ciências naturais, matemática e estatística",Serviços,Santos,152667
"Negócios, administração e direito",Serviços,Santos,152667
"Ciências sociais, comunicação e informação",Serviços,Santos,152667
Artes e humanidades,Serviços,Santos,152667
Educação,Serviços,Osasco,139899
Serviços,Serviços,Osasco,139899
Saúde e bem-estar,Serviços,Osasco,139899
"Agricultura, silvicultura, pesca e veterinária",Serviços,Osasco,139899
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Osasco,139899
"Ciências naturais, matemática e estatística",Serviços,Osasco,139899
"Negócios, administração e direito",Serviços,Osasco,139899
"Ciências sociais, comunicação e informação",Serviços,Osasco,139899
Artes e humanidades,Serviços,Osasco,139899
Educação,Serviços,São José dos Campos,120152
Serviços,Serviços,São José dos Campos,120152
Saúde e bem-estar,Serviços,São José dos Campos,120152
"Agricultura, silvicultura, pesca e veterinária",Serviços,São José dos Campos,120152
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,São José dos Campos,120152
"Ciências naturais, matemática e estatística",Serviços,São José dos Campos,120152
"Negócios, administração e direito",Serviços,São José dos Campos,120152
"Ciências sociais, comunicação e informação",Serviços,São José dos Campos,120152
Artes e humanidades,Serviços,São José dos Campos,120152
Educação,Serviços,Sorocaba,119828
Serviços,Serviços,Sorocaba,119828
Saúde e bem-estar,Serviços,Sorocaba,119828
"Agricultura, silvicultura, pesca e veterinária",Serviços,Sorocaba,119828
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Sorocaba,119828
"Ciências naturais, matemática e estatística",Serviços,Sorocaba,119828
"Negócios, administração e direito",Serviços,Sorocaba,119828
"Ciências sociais, comunicação e informação",Serviços,Sorocaba,119828
Artes e humanidades,Serviços,Sorocaba,119828
Educação,Serviços,Jundiaí,103908
Serviços,Serviços,Jundiaí,103908
Saúde e bem-estar,Serviços,Jundiaí,103908
"Agricultura, silvicultura, pesca e veterinária",Serviços,Jundiaí,103908
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Jundiaí,103908
"Ciências naturais, matemática e estatística",Serviços,Jundiaí,103908
"Negócios, administração e direito",Serviços,Jundiaí,103908
"Ciências sociais, comunicação e informação",Serviços,Jundiaí,103908
Artes e humanidades,Serviços,Jundiaí,103908
"Ciências naturais, matemática e estatística",Indústria,Guarulhos,96355
"Agricultura, silvicultura, pesca e veterinária",Indústria,Guarulhos,96355
"Engenharia, produção e construção",Indústria,Guarulhos,96355
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Guarulhos,96355
"Negócios, administração e direito",Comércio,Campinas,92443
Serviços,Comércio,Campinas,92443
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Campinas,92443
"Ciências naturais, matemática e estatística",Comércio,Campinas,92443
Educação,Serviços,São José do Rio Preto,85806
Serviços,Serviços,São José do Rio Preto,85806
Saúde e bem-estar,Serviços,São José do Rio Preto,85806
"Agricultura, silvicultura, pesca e veterinária",Serviços,São José do Rio Preto,85806
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,São José do Rio Preto,85806
"Ciências naturais, matemática e estatística",Serviços,São José do Rio Preto,85806
"Negócios, administração e direito",Serviços,São José do Rio Preto,85806
"Ciências sociais, comunicação e informação",Serviços,São José do Rio Preto,85806
Artes e humanidades,Serviços,São José do Rio Preto,85806
"Negócios, administração e direito",Comércio,Guarulhos,85116
Serviços,Comércio,Guarulhos,85116
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Guarulhos,85116
"Ciências naturais, matemática e estatística",Comércio,Guarulhos,85116
Educação,Serviços,Bauru,83245
Serviços,Serviços,Bauru,83245
Saúde e bem-estar,Serviços,Bauru,83245
"Agricultura, silvicultura, pesca e veterinária",Serviços,Bauru,83245
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Bauru,83245
"Ciências naturais, matemática e estatística",Serviços,Bauru,83245
"Negócios, administração e direito",Serviços,Bauru,83245
"Ciências sociais, comunicação e informação",Serviços,Bauru,83245
Artes e humanidades,Serviços,Bauru,83245
Educação,Serviços,Mogi das Cruzes,73169
Serviços,Serviços,Mogi das Cruzes,73169
Saúde e bem-estar,Serviços,Mogi das Cruzes,73169
"Agricultura, silvicultura, pesca e veterinária",Serviços,Mogi das Cruzes,73169
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Mogi das Cruzes,73169
"Ciências naturais, matemática e estatística",Serviços,Mogi das Cruzes,73169
"Negócios, administração e direito",Serviços,Mogi das Cruzes,73169
"Ciências sociais, comunicação e informação",Serviços,Mogi das Cruzes,73169
Artes e humanidades,Serviços,Mogi das Cruzes,73169
Educação,Serviços,São Caetano do Sul,68798
Serviços,Serviços,São Caetano do Sul,68798
Saúde e bem-estar,Serviços,São Caetano do Sul,68798
"Agricultura, silvicultura, pesca e veterinária",Serviços,São Caetano do Sul,68798
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,São Caetano do Sul,68798
"Ciências naturais, matemática e estatística",Serviços,São Caetano do Sul,68798
"Negócios, administração e direito",Serviços,São Caetano do Sul,68798
"Ciências sociais, comunicação e informação",Serviços,São Caetano do Sul,68798
Artes e humanidades,Serviços,São Caetano do Sul,68798
"Negócios, administração e direito",Comércio,Ribeirão Preto,67696
Serviços,Comércio,Ribeirão Preto,67696
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Ribeirão Preto,67696
"Ciências naturais, matemática e estatística",Comércio,Ribeirão Preto,67696
Educação,Serviços,Piracicaba,65577
Serviços,Serviços,Piracicaba,65577
Saúde e bem-estar,Serviços,Piracicaba,65577
"Agricultura, silvicultura, pesca e veterinária",Serviços,Piracicaba,65577
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Piracicaba,65577
"Ciências naturais, matemática e estatística",Serviços,Piracicaba,65577
"Negócios, administração e direito",Serviços,Piracicaba,65577
"Ciências sociais, comunicação e informação",Serviços,Piracicaba,65577
Artes e humanidades,Serviços,Piracicaba,65577
"Ciências naturais, matemática e estatística",Indústria,Sorocaba,58732
"Agricultura, silvicultura, pesca e veterinária",Indústria,Sorocaba,58732
"Engenharia, produção e construção",Indústria,Sorocaba,58732
