Curso,Instituicao,Estado,Ano,Taxa
ENFERMAGEM,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,99.8
DIREITO,FACULDADE ANHANGUERA DE OSASCO,São Paulo,2023,99.7
DIREITO,FACULDADE ANHANGUERA DE OSASCO,São Paulo,2021,99.7
DIREITO,FACULDADE ANHANGUERA DE OSASCO,São Paulo,2022,99.7
DIREITO,FACULDADE ANHANGUERA DE OSASCO,São Paulo,2020,99.7
DIREITO,Instituto Universitário Una de Catalão,Goiás,2022,99.6
DIREITO,Instituto Universitário Una de Catalão,Goiás,2023,99.6
DIREITO,Centro Universitário da Amazônia,Pará,2022,99.6
DIREITO,Centro Universitário da Amazônia,Pará,2021,99.6
BIOMEDICINA,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2023,99.5
BIOMEDICINA,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2022,99.5
DIREITO,CENTRO UNIVERSITÁRIO DO NORTE,Amazonas,2023,99.5
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,99.4
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,99.4
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,99.4
ADMINISTRAÇÃO,FACULDADE DE SUZANO,São Paulo,2022,99.4
ADMINISTRAÇÃO,FACULDADE DE SUZANO,São Paulo,2023,99.4
JORNALISMO,CENTRO UNIVERSITÁRIO DO NORTE,Amazonas,2022,99.3
FARMÁCIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,99.3
ARQUITETURA E URBANISMO,FIAM-FAAM - CENTRO UNIVERSITÁRIO,São Paulo,2023,99.3
FARMÁCIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,99.3
FARMÁCIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,99.3
ADMINISTRAÇÃO,FACULDADE CAMPOS ELÍSEOS,São Paulo,2023,99.3
ODONTOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2022,99.3
ODONTOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2023,99.3
ENFERMAGEM,Centro Universitário FADERGS,Rio Grande do Sul,2023,99.2
DIREITO,FACULDADE UNINASSAU FEIRA DE SANTANA,Bahia,2021,99.2
DIREITO,FACULDADE UNINASSAU FEIRA DE SANTANA,Bahia,2020,99.2
DIREITO,FACULDADE UNINASSAU FEIRA DE SANTANA,Bahia,2022,99.2
PEDAGOGIA,FACULDADE DIADEMA,São Paulo,2023,99.2
PEDAGOGIA,FACULDADE DIADEMA,São Paulo,2022,99.2
NUTRIÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2023,99.1
NUTRIÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2022,99.1
ENGENHARIA CIVIL,FACULDADE DE ENGENHARIA SÃO PAULO,São Paulo,2023,99.1
TEATRO,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2021,99.1
TEATRO,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2023,99.1
TEATRO,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2022,99.1
ENGENHARIA CIVIL,FACULDADE DE ENGENHARIA SÃO PAULO,São Paulo,2021,99.1
DIREITO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,99.1
FISIOTERAPIA,UNIVERSIDADE PAULISTA,São Paulo,2022,99.1
FISIOTERAPIA,UNIVERSIDADE PAULISTA,Distrito Federal,2022,99.1
FISIOTERAPIA,UNIVERSIDADE PAULISTA,Amazonas,2022,99.1
