Curso,Estado,NumIngressantes,MediaSalarial
DIREITO,Acre,1439,3603.15
MEDICINA,Acre,326,3603.15
ADMINISTRAÇÃO,Acre,311,3603.15
ENFERMAGEM,Acre,311,3603.15
CIÊNCIAS BIOLÓGICAS,Acre,254,3603.15
ENGENHARIA CIVIL,Acre,251,3603.15
CIÊNCIAS CONTÁBEIS,Acre,231,3603.15
EDUCAÇÃO FÍSICA,Acre,216,3603.15
PEDAGOGIA,Acre,203,3603.15
HISTÓRIA,Acre,172,3603.15
PSICOLOGIA,Acre,171,3603.15
SISTEMAS DE INFORMAÇÃO,Acre,149,3603.15
MATEMÁTICA,Acre,137,3603.15
FÍSICA,Acre,130,3603.15
ENGENHARIA FLORESTAL,Acre,121,3603.15
NUTRIÇÃO,Acre,115,3603.15
LETRAS - INGLÊS,Acre,115,3603.15
PROCESSOS ESCOLARES,Acre,113,3603.15
LETRAS - LÍNGUA PORTUGUESA,Acre,111,3603.15
ODONTOLOGIA,Acre,110,3603.15
ENGENHARIA AGRONÔMICA,Acre,109,3603.15
GEOGRAFIA,Acre,105,3603.15
LETRAS - ESPANHOL,Acre,102,3603.15
ENGENHARIA ELÉTRICA,Acre,90,3603.15
ARQUITETURA E URBANISMO,Acre,88,3603.15
FARMÁCIA,Acre,86,3603.15
QUÍMICA,Acre,78,3603.15
FILOSOFIA,Acre,65,3603.15
JORNALISMO,Acre,63,3603.15
CIÊNCIAS ECONÔMICAS,Acre,62,3603.15
SERVIÇOS JURÍDICOS,Acre,60,3603.15
BIOMEDICINA,Acre,59,3603.15
FISIOTERAPIA,Acre,59,3603.15
MEDICINA VETERINÁRIA,Acre,58,3603.15
LETRAS - LIBRAS,Acre,54,3603.15
SAÚDE COLETIVA,Acre,51,3603.15
LETRAS - FRANCÊS,Acre,50,3603.15
ESTÉTICA E COSMÉTICA,Acre,43,3603.15
SISTEMAS PARA INTERNET,Acre,41,3603.15
AGROECOLOGIA,Acre,40,3603.15
GESTÃO DO AGRONEGÓCIO,Acre,40,3603.15
ZOOTECNIA,Acre,39,3603.15
ENGENHARIA MECÂNICA,Acre,37,3603.15
CIÊNCIAS SOCIAIS,Acre,37,3603.15
RADIOLOGIA,Acre,36,3603.15
LOGÍSTICA,Acre,34,3603.15
GESTÃO PÚBLICA,Acre,33,3603.15
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Acre,31,3603.15
AGROINDÚSTRIA,Acre,29,3603.15
FONOAUDIOLOGIA,Acre,27,3603.15
GESTÃO DE RECURSOS HUMANOS,Acre,27,3603.15
GESTÃO AMBIENTAL,Acre,26,3603.15
TEATRO,Acre,22,3603.15
REDES DE COMPUTADORES,Acre,11,3603.15
COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Acre,10,3603.15
MÚSICA,Acre,10,3603.15
SERVIÇO SOCIAL,Acre,7,3603.15
GASTRONOMIA,Acre,7,3603.15
TEOLOGIA,Acre,7,3603.15
DIREITO,Alagoas,3631,3053.41
ENFERMAGEM,Alagoas,1755,3053.41
PSICOLOGIA,Alagoas,1295,3053.41
PEDAGOGIA,Alagoas,1175,3053.41
ADMINISTRAÇÃO,Alagoas,1075,3053.41
EDUCAÇÃO FÍSICA,Alagoas,1033,3053.41
FISIOTERAPIA,Alagoas,955,3053.41
CIÊNCIAS CONTÁBEIS,Alagoas,931,3053.41
ENGENHARIA CIVIL,Alagoas,887,3053.41
NUTRIÇÃO,Alagoas,670,3053.41
MEDICINA,Alagoas,606,3053.41
ODONTOLOGIA,Alagoas,561,3053.41
FARMÁCIA,Alagoas,468,3053.41
CIÊNCIAS BIOLÓGICAS,Alagoas,461,3053.41
GEOGRAFIA,Alagoas,354,3053.41
ARQUITETURA E URBANISMO,Alagoas,353,3053.41
QUÍMICA,Alagoas,334,3053.41
SERVIÇO SOCIAL,Alagoas,326,3053.41
MATEMÁTICA,Alagoas,318,3053.41
GESTÃO DE RECURSOS HUMANOS,Alagoas,289,3053.41
LETRAS - PORTUGUÊS,Alagoas,278,3053.41
GASTRONOMIA,Alagoas,278,3053.41
MEDICINA VETERINÁRIA,Alagoas,277,3053.41
FÍSICA,Alagoas,255,3053.41
SISTEMAS DE INFORMAÇÃO,Alagoas,254,3053.41
HISTÓRIA,Alagoas,238,3053.41
ENGENHARIA ELÉTRICA,Alagoas,206,3053.41
CIÊNCIA DA COMPUTAÇÃO,Alagoas,204,3053.41
BIOMEDICINA,Alagoas,197,3053.41
ZOOTECNIA,Alagoas,155,3053.41
CIÊNCIAS ECONÔMICAS,Alagoas,153,3053.41
JORNALISMO,Alagoas,151,3053.41
